Cuenta,EtiquetaReal,Edad,Genero,#Dependientes,NivelEducacion,EstadoCivil,CategoriaIngreso,CategoriaTarjeta,MesesEnBanco,#Productos,MesInactivoUltAnio,#ContactosUltAnio,CreditoLimite,SaldoGastado,SaldoAbierto,CambioMontoTransaccion,ImporteTransaccionesUltAnio,#TransaccionesUltAnio,Cambio#Transacciones,VelocidadUso
799723908,Existing Customer,47.7,M,1.3,High School,Married,$80K - $120K,Blue,43.1,2,2.2,3.8,19751.9,882.757773208859,18869.1422267911,0.728340427281246,1407.7,33.0006407971732,0.708595005932423,0.096548509087489
779471883,Attrited Customer,56.1,F,-0.1,Graduate,Married,Less than $40K,Blue,41.9,2.8,2.1,1.8,905.9,986.441336661986,-80.5413366619861,0.816818209899273,938.7,25.0828747561466,0.757973642450894,0.584230588416139
717891558,Existing Customer,46.8,F,4.3,Graduate,Unknown,Less than $40K,Blue,31.2,6.3,4.9,1.8,3320.9,1692.49583047118,1628.40416952882,0.8498325695454,902.8,31.3301373597947,0.447054220770362,0.745543309917681
711481533,Existing Customer,38.3,M,0.3,High School,Divorced,$60K - $80K,Blue,28.2,4.4,2.4,3.1,6106.7,935.075822056595,5171.62417794341,0.687202308404427,1428.9,31.767518424326,1.34709993439959,0.284494751044986
715971108,Existing Customer,48.5,M,3.5,Graduate,Single,$120K +,Blue,44.1,2.6,1.5,3.2,34311.8,1983.88233667324,32327.9176633268,1.12890420820668,1318.6,46.943212953973,1.07779433926259,-0.019898352056859
719580033,Existing Customer,55.8,M,-0.1,Graduate,Unknown,$60K - $80K,Blue,44.1,4.9,1.4,2.6,3044.8,1492.70567465653,1552.09432534347,0.907094273684552,1472.2,16.1448990086126,0.437044352452347,0.604669372822456
714826758,Existing Customer,36.8,F,1.3,Uneducated,Single,Less than $40K,Blue,29.1,2,3.5,1.4,7194.5,1531.30525305977,5663.19474694023,0.494744765180742,2490.4,62.5558602614746,0.908287362722741,0.324836180345261
710790258,Existing Customer,46.2,M,3,Graduate,Married,$80K - $120K,Blue,39,5,2.2,1.2,29147.8,1680.64177662998,27467.15822337,0.84665583753859,1054.3,28.3292839084449,0.335459516270787,0.031618698123994
715623483,Existing Customer,48.6,M,1.2,Graduate,Married,$60K - $80K,Blue,33.6,2.3,4.6,-0.8,8268,1956.09042198693,6311.90957801307,1.13843365022314,1618.1,34.6073353542693,1.45494176118122,0.270295053649864
755420433,Existing Customer,61.9,F,0.1,Graduate,Married,Unknown,Blue,49.2,0.9,2.4,2.8,9828.8,941.114827060332,8887.68517293967,0.562486222031539,832.8,17.1080550266672,0.738082147771859,0.145300315541455
716396358,Existing Customer,52.5,M,1,Graduate,Married,$60K - $80K,Blue,42.6,6.9,2.1,0.8,3302.8,1535.54472430475,1767.25527569525,0.817709357732247,1600.3,33.7570839101624,0.556171578710407,0.540750325697887
715398033,Existing Customer,53.5,M,3.5,High School,Single,$120K +,Blue,37,3.6,2.2,0,18513.8,2178.94710032759,16334.8528996724,0.362914006051332,1034.6,32.843420241157,0.54033211893818,0.151451901966798
711743883,Existing Customer,44.5,F,3.9,Uneducated,Single,Less than $40K,Blue,36.1,5.3,1.3,2.3,4139.2,-174.015583494702,4313.2155834947,0.686928981943094,1434.9,31.5419201817873,0.458834786975115,0.098872766326086
719720058,Existing Customer,45.5,M,1.8,High School,Single,$60K - $80K,Blue,31.2,3.3,3.7,1.1,12383.8,1307.61124502786,11076.1887549721,1.91796086392334,1437.3,8.63475083236129,1.88186157527821,0.148137118177509
714107958,Existing Customer,45.3,M,1.6,Graduate,Single,$40K - $60K,Blue,31.2,3.9,3.4,3.2,7157.9,-430.960652446075,7588.86065244607,0.864967852664136,1495.7,38.5033484011505,0.496572691424537,-0.022250882647983
715550508,Existing Customer,43.8,F,2.9,Unknown,Married,Unknown,Blue,28.9,3.9,1.2,1.9,2709,2807.09699797451,-98.09699797451,1.8925671929469,1344.9,18.069279110737,1.37860021281597,1.04645979533277
802013583,Existing Customer,53,M,4.6,College,Married,$120K +,Blue,46,3.4,3,-0.6,9327.4,2659.92103494154,6667.47896505846,0.494096920309163,1327,13.4997268133405,0.907553173356049,0.138470919786149
714778833,Existing Customer,49.1,F,2.5,College,Single,Unknown,Blue,39,5.4,3.3,0.9,23097,1764.10226743658,21332.8977325634,0.377522812850944,1472.3,22.9099513294316,1.09662019350211,0.100694045078663
713572683,Existing Customer,46.4,M,4.6,High School,Unknown,$60K - $80K,Blue,24.1,2.2,3.1,-0.9,2236.6,-267.884712414398,2504.4847124144,0.657834440712494,1499.9,36.4863447448985,0.674397020957208,-0.032278154211076
716657058,Existing Customer,43.3,F,3.1,Post-Graduate,Married,Less than $40K,Blue,37.4,2,2,3.4,7815.4,1116.00505157677,6699.39494842323,0.493420421939935,1693.6,42.8607098482591,0.40913780650254,0.177040935803664
799825758,Existing Customer,41.1,M,5,High School,Divorced,$60K - $80K,Blue,39.9,5.3,0.2,1.7,3440.2,2063.96209571171,1376.23790428829,0.338575245531284,1253.2,35.2983260336482,0.35434432069571,0.583277864611027
718619883,Existing Customer,57,F,-1.3,Uneducated,Married,Less than $40K,Blue,38.9,2.2,1.1,2.4,1073.3,1181.64004154541,-108.34004154541,1.54556215657936,1195.4,19.7388231056344,3.05120423171583,0.412463497510051
711844758,Existing Customer,45.4,M,2.7,Graduate,Single,$80K - $120K,Blue,37.1,7.7,0.8,0,13858.4,1791.64785319746,12066.7521468025,0.948983764902828,1255.9,37.1454243810861,1.11158177400753,0.030391978645683
715259583,Existing Customer,52.7,F,3.6,High School,Married,Less than $40K,Blue,39.8,3,1,2.4,4813.9,1586.6134014828,3227.2865985172,0.903953888057011,1365.3,37.9071052402057,0.853379109754056,0.29830926695893
718414008,Existing Customer,48,M,2.9,Graduate,Single,$120K +,Blue,32.8,4.9,1.2,2.7,34250.7,1282.81291268203,32967.887087318,0.779546914576947,1214.3,13.4915402801959,0.596011102066652,0.051560986214133
783554958,Existing Customer,55,M,3.5,Graduate,Single,$120K +,Blue,50.2,4.4,0.8,0,32206.9,97.2280828007962,32109.6719171992,0.397066839918879,1436,36.0186762642758,0.556355273972785,0.024193597030017
718039683,Existing Customer,53.6,M,0.7,High School,Single,$40K - $60K,Blue,46.5,4.7,1.1,2.8,13198.2,1848.3716657243,11349.8283342757,0.679028594680919,1331.2,23.4909288652001,1.48714102877627,0.155389615070318
710806083,Existing Customer,51.2,F,1.3,Uneducated,Unknown,Less than $40K,Silver,38.9,4.5,2.4,1.1,12193.2,1974.12354925954,10219.0764507405,0.546388579153404,1129.4,29.0888973220004,0.635050359219898,0.210266589745217
714752208,Existing Customer,43.7,F,1.7,Graduate,Married,Less than $40K,Blue,33.4,3,1.6,2.3,2297.3,1901.35664468012,395.94335531988,0.79860749927121,886.9,13.7744408857852,0.869494958627371,0.812759759061547
822063408,Existing Customer,40.4,M,2,Unknown,Married,$40K - $60K,Blue,38.2,6.9,1.2,2.2,5625.9,2743.8527827526,2882.0472172474,0.522338245636369,1177.3,21.5901235060558,2.10461407056566,0.476456632557837
711402333,Existing Customer,47.1,M,2.6,Doctorate,Single,Less than $40K,Blue,38.8,0.9,0.4,3,2814,961.554385627932,1852.44561437207,0.692738415340252,1255.4,35.0035103002593,1.10065223024875,0.185895880159618
717721458,Existing Customer,47.6,M,3.3,College,Divorced,$60K - $80K,Blue,35.4,3.2,0.5,-0.4,10809.3,820.881924875671,9988.41807512433,1.63405365993196,2261.1,46.3674529794263,1.36911617313621,0.142018244552957
712950783,Attrited Customer,47,F,5,Uneducated,Married,Less than $40K,Blue,41.8,2.1,2.8,2.9,2939.9,-76.6925819744205,3016.59258197442,0.655702962484112,720.8,15.7032877888795,0.449144239169905,-0.034031768920113
716104983,Existing Customer,40.5,F,0.6,Graduate,Single,Less than $40K,Blue,30.5,6.1,3.7,1.5,2752.2,1870.35878679161,881.84121320839,1.12161202331959,1780.8,24.2695733102044,3.01279249660439,0.976505594326537
772288758,Existing Customer,47.6,F,4.4,Graduate,Married,Unknown,Blue,39.5,5.9,1.6,3.4,4903.1,1660.62052395798,3242.47947604202,0.925148428563846,1552.6,31.2827572542812,1.29565053241563,0.238059974294186
711009708,Existing Customer,40.2,M,4.4,High School,Single,$80K - $120K,Blue,32.6,3.2,0,-0.3,21506.4,242.379225516336,21264.0207744837,1.310976825597,1507,23.5275199042244,0.358592380451741,0.010654897140641
712215258,Existing Customer,48.8,F,2,Graduate,Single,$40K - $60K,Silver,27.5,2.6,2.5,2.1,18652,269.036259382997,18382.963740617,0.914984129682141,1563.9,15.9894317597995,0.485022146835748,0.034442409865332
713786508,Existing Customer,42.5,F,3.2,Unknown,Married,$40K - $60K,Blue,35.3,3.4,2.7,3.4,2299.9,67.0235968390551,2232.87640316094,0.84870676029171,1287,24.3012278632407,0.55316833341086,0.012478407038838
718759833,Existing Customer,46.9,F,0.8,Uneducated,Married,Unknown,Silver,37.4,3.5,3.4,1.9,32066.4,428.189534404961,31638.210465595,1.37960644359347,1099.3,23.6542155129803,2.50190298387743,0.064514243368545
714133158,Existing Customer,60.9,F,1.3,College,Single,Unknown,Blue,40.3,0.6,2.1,2.6,3720.9,1806.23686754779,1914.66313245221,0.95925182393021,1157.9,28.9240596178525,0.87503969828023,0.395251689230013
714791208,Existing Customer,48.1,F,5.7,Unknown,Divorced,Less than $40K,Blue,37.5,4.8,4.7,3.9,3420.6,2443.84377842232,976.75622157768,0.566456719365783,1121.7,19.7264869145987,0.208128908082932,0.655981756110025
772426383,Existing Customer,47.6,F,4.8,Uneducated,Married,$40K - $60K,Blue,44.7,6.3,1.5,3.1,2810.3,1195.94017463498,1614.35982536502,1.23652913026803,1350.1,32.0959792740751,1.42022738640562,0.417689424431457
715827858,Existing Customer,60.9,F,3.2,Uneducated,Married,Less than $40K,Blue,45,2.7,2.5,3.1,2796.8,2120.0594293064,676.7405706936,1.71082683177035,1183.8,28.8040233523633,2.47911258614593,0.741581442932764
716493408,Existing Customer,46.5,F,2.1,Uneducated,Divorced,Unknown,Blue,32.8,4.2,2.3,2,15954,1444.03605671504,14509.963943285,1.07569396499167,1561.5,34.0119241681375,1.58127900674461,0.026559725024324
708953883,Attrited Customer,51.1,M,0.5,Unknown,Married,$80K - $120K,Blue,32.9,1.2,2.5,1.4,2791.8,-194.031176304602,2985.8311763046,0.939342058036654,629,25.0349114699353,0.119428419466458,-0.031226927595695
716264358,Existing Customer,51.2,M,1.4,Uneducated,Married,$80K - $120K,Blue,44.1,2.7,1.1,1.6,26727.3,2288.22317702119,24439.0768229788,1.64254807978115,2313.2,49.8961272939049,0.702732288118476,0.165018145968733
779562633,Existing Customer,42.1,M,2,Uneducated,Married,$40K - $60K,Blue,34.3,3.2,2,0.1,5347.7,2783.56269927791,2564.13730072209,1.74537798491579,1504.9,23.3075483064408,0.766669425290002,0.484643488935835
715315833,Existing Customer,51.3,M,2.3,Graduate,Married,$80K - $120K,Blue,35.7,7,2.8,2.9,11270.2,1790.96186808238,9479.23813191762,1.13445045969756,1467.4,18.9187468334539,1.15730293957702,0.226412519669247
721148358,Existing Customer,51.1,F,1.5,Uneducated,Single,Unknown,Blue,37.7,6.9,2.8,1.4,12645.4,-44.1144660282604,12689.5144660283,0.397374875260264,1363,22.290163232973,0.408779106971514,-0.025821120672223
779956608,Existing Customer,39.6,F,3,Post-Graduate,Married,Unknown,Blue,32.2,6.8,0.5,3.8,20800.7,99.6613242216137,20701.0386757784,0.63087923132275,1704.2,36.2671930542718,0.850543913875778,-0.05253952497776
780376683,Existing Customer,58.1,M,2.7,Graduate,Married,$80K - $120K,Blue,46.7,5.3,3.8,1.3,14794.4,1508.57649344221,13285.8235065578,1.95032247840878,2046,18.8078769509715,3.13699633237763,0.181448974070086
715735233,Existing Customer,52.8,F,6.5,Post-Graduate,Married,Less than $40K,Blue,47.6,5.8,0.3,0.2,3890.1,1159.30066308373,2730.79933691627,0.759573148812042,1730.7,40.4500413939228,0.481458860071985,0.540985395603167
715872333,Existing Customer,39.5,M,0,High School,Unknown,$120K +,Blue,35.6,4.6,2.8,3,18051.8,2218.43601223054,15833.3639877695,0.819795844752467,1301.8,22.7018502872206,0.986069775096521,0.206928304779271
712375758,Existing Customer,52.3,M,2.4,Uneducated,Married,$80K - $120K,Blue,43.6,2.7,3.9,0.7,16855.7,1467.48525943154,15388.2147405685,1.53987126357652,1173.5,37.7081770523085,0.560123642131387,-0.010073218074385
770817783,Existing Customer,46.7,M,5.4,Graduate,Married,$60K - $80K,Silver,32.5,3.1,2.4,1.7,34988,2253.4066374673,32734.5933625327,0.813266806302191,1200.1,29.7768895650347,0.390862441014157,0.017233412826384
820596183,Existing Customer,57.6,M,0.1,College,Married,$120K +,Blue,54.6,2.1,2.7,0.3,23872.3,1797.61694664289,22074.6830533571,1.34300416261442,2134.9,54.8815968239588,0.577602740758666,0.176697868242773
805543158,Existing Customer,50.1,M,4.8,Graduate,Married,$120K +,Blue,50.8,6,2.5,3.7,10635.3,1965.18060595695,8670.11939404305,1.00924983720072,1698.7,37.1482545369396,1.14162782979884,0.292303181177324
770746908,Existing Customer,45,M,5.6,Unknown,Married,$60K - $80K,Blue,26.1,4,0.8,1.9,7634.1,2586.31296303445,5047.78703696555,1.05384729624334,999.1,27.9244307822878,1.00421046201901,0.406055028750496
719662458,Existing Customer,46.3,F,1.5,Graduate,Divorced,Less than $40K,Blue,25.1,5.9,2.3,2.8,1364.8,115.958125237264,1248.84187476274,0.648095270201508,1018.1,35.7694378789462,0.948027971553923,0.414705349277327
788900883,Existing Customer,50.3,F,1.5,Graduate,Married,Less than $40K,Blue,39.6,1.4,0.2,3.3,2861.5,1008.61163044764,1852.88836955236,0.792548132997239,1593.4,34.7038563410271,0.222445746890066,0.415233897664151
719437908,Existing Customer,42.7,M,1.7,Post-Graduate,Divorced,$80K - $120K,Blue,33,7.5,1.9,2.1,17453.6,2111.96295931442,15341.6370406856,1.20140786588894,1537.1,48.8104167327712,0.772454412719271,0.145178392204459
790096533,Existing Customer,57.3,M,2.7,College,Married,$60K - $80K,Blue,50.5,5.8,2.5,1,8453.1,773.213476433999,7679.886523566,1.1534571023714,1436.1,31.1669291493594,1.31337099573961,0.085926438994761
720997383,Attrited Customer,51.1,M,-0.1,Uneducated,Married,$80K - $120K,Blue,35.4,2.8,3.5,3.4,1434.4,1612.85550765035,-178.45550765035,0.761860958626473,620.4,18.284836670137,0.695286892552792,0.914176593625006
787541883,Existing Customer,41.5,M,1.1,Graduate,Unknown,$80K - $120K,Blue,32.3,1.3,3.7,3.4,34894.9,327.599649416512,34567.3003505835,0.341059744097411,941.1,30.7898265721916,0.398742107230583,-0.037643066747485
709930758,Existing Customer,42.9,M,0.1,Uneducated,Married,$40K - $60K,Blue,32.7,4.6,3.4,3.6,11174.4,673.957153730936,10500.4428462691,0.78106281722987,1372.9,37.1427032154248,0.831182565880292,0.044979565016467
789830058,Existing Customer,42.6,M,5.5,Unknown,Single,$80K - $120K,Blue,32.5,4.9,0.5,2.6,21695.3,1158.31062449496,20536.989375505,0.729674472725398,1606.5,33.5194450362085,2.32648530036278,0.033543913974915
715341858,Existing Customer,55,M,3.1,Graduate,Married,$80K - $120K,Blue,50.3,4.6,1.2,2.2,1810.6,1063.58079299307,747.01920700693,0.867052557124626,1291.3,43.1065716011526,0.604447886422813,0.712651689426401
712125258,Attrited Customer,43.1,M,3.9,High School,Married,$120K +,Blue,33,1.6,2.6,2.2,2808,-326.891768985186,3134.89176898519,1.08636966426396,785.5,17.5883381735754,0.789180179726995,-0.058142058096012
721022433,Existing Customer,45.8,M,1.1,Doctorate,Single,$60K - $80K,Blue,34.6,5.8,1.5,2,7119.8,3011.85102021702,4107.94897978298,0.387965775081776,1273.9,35.0826808499031,0.18587206126883,0.248025042706716
710103558,Existing Customer,48,M,1.3,Post-Graduate,Single,$120K +,Blue,28.3,5.7,0.2,1.3,3522.5,1867.74272532335,1654.75727467665,1.15055950760343,1061.1,31.7381481131201,0.588524598088833,0.394078795574067
715952883,Existing Customer,74.1,M,-0.7,High School,Married,$40K - $60K,Blue,36.5,6.7,3.7,1.5,5006.9,1024.59955633863,3982.30044366137,1.64855342738666,2011.4,39.1740481220925,1.65169359869812,0.338765161508255
772390908,Attrited Customer,61.6,M,-1.1,High School,Single,$40K - $60K,Blue,49.5,3.4,3.8,2.6,3159.3,1580.38182304523,1578.91817695477,0.759412663471038,695.8,22.2657439343574,0.481078566606892,0.303317239510624
787348608,Existing Customer,69.8,M,-1.9,High School,Married,Less than $40K,Blue,60,3.4,2.9,2.2,3717.1,1005.5405899595,2711.5594100405,0.307127990741345,1348.2,8.90281026204161,0.708465359311924,0.49921627592676
709485033,Existing Customer,56.6,F,0.6,High School,Married,Less than $40K,Blue,33.8,5,2.3,4,2144,713.582602285628,1430.41739771437,0.777831554621148,1838.8,24.9360690948101,1.52718770864581,0.466538737663943
799471833,Existing Customer,46.4,M,0.8,Uneducated,Single,$120K +,Blue,39.8,4.8,2.7,1.4,2566.3,1879.09437544248,687.20562455752,0.762146311384331,1148,32.1736148852201,0.282020607267674,0.4752782961831
778867533,Attrited Customer,59.3,F,0.6,Post-Graduate,Married,$40K - $60K,Blue,44.8,2.6,4.3,0.5,975,-556.922389549807,1531.92238954981,1.29266778008308,905.8,29.354449566044,0.298565195931901,-0.009347922316901
710620383,Existing Customer,41,M,3.8,Unknown,Married,$60K - $80K,Blue,30.4,5.5,3.4,2.8,24057.6,1556.34595609728,22501.2540439027,0.544647162797399,709.2,12.5990571029237,1.29593431178217,0.046609002060089
789483333,Existing Customer,38.8,M,0.1,Uneducated,Married,$40K - $60K,Blue,36.8,4.9,1.8,2.6,5637,313.748589214167,5323.25141078583,0.549367297481777,1430.1,25.3510296009091,1.31918011049734,0.156791382742409
809855808,Existing Customer,50.2,F,3.9,Graduate,Married,Less than $40K,Blue,47.1,5.3,2,3,4796.5,1877.99522247484,2918.50477752516,0.581638733899054,1150.1,19.7306348482165,0.730489148070897,0.327109037055637
708528483,Existing Customer,41.4,F,2.3,Graduate,Divorced,Unknown,Blue,23.7,4.1,3.9,2,2933,2093.03622871309,839.96377128691,0.811041452822733,1143.5,30.4843563343534,1.18105837240473,0.829513691706403
717806133,Existing Customer,42.7,M,3.7,Uneducated,Divorced,$60K - $80K,Blue,29,6.7,3.9,-0.8,24158.4,288.571189280466,23869.8288107195,0.779964460878887,1176.8,29.7605014672209,1.03143614654576,0.042739251543323
720615708,Existing Customer,59.7,M,-0.7,Uneducated,Married,$40K - $60K,Blue,46.1,7.7,2.8,1.2,2518.4,-529.488310546027,3047.88831054603,0.585440468616783,1321.2,29.2858806475758,0.731859743392353,-0.032988962711918
721132233,Existing Customer,41,F,2.2,Uneducated,Married,Less than $40K,Blue,33.1,3.5,1.1,2.4,2188.1,1557.05248983144,631.04751016856,0.472229669394837,1241.1,27.7050657901471,1.04247649627167,0.74722845257561
719211558,Attrited Customer,42.3,M,3.9,Graduate,Single,$60K - $80K,Blue,32.1,-1,1.9,2.8,3644.7,136.708736768178,3507.99126323182,0.85661187944707,681.6,24.2308302512647,1.12349417288213,-0.082296066122465
715085733,Existing Customer,62.2,M,0.5,Graduate,Married,$40K - $60K,Blue,49.8,3.4,1.1,2.9,3160.2,2094.59599955614,1065.60400044386,2.34026591898405,2661.4,33.0600680089694,1.5950541892988,0.736867066404417
779078733,Existing Customer,56.3,M,1.7,Doctorate,Married,$60K - $80K,Blue,32.1,1.2,3.2,3.9,16177.7,1290.95708764333,14886.7429123567,0.668661805179158,1458.8,31.0273191935438,1.2392127595282,0.158774104917998
712270158,Existing Customer,64.5,F,-1.5,High School,Married,$40K - $60K,Blue,47.7,7,1.7,3.2,1824.6,865.430136105609,959.169863894391,0.488310905224945,978,36.9234633014148,0.641617622449259,0.667402937470044
754897008,Existing Customer,48.7,M,4.9,High School,Single,$40K - $60K,Blue,42.5,0.7,2.4,2,9522.2,1107.67427665785,8414.52572334215,0.770550560334292,1365.3,24.1016920784033,0.33254461277337,0.168739494164218
712890408,Existing Customer,42.2,M,1.7,Uneducated,Married,$60K - $80K,Blue,38.6,5.5,2.6,1.6,2396,1636.39149213935,759.60850786065,0.85846047182408,1112.6,33.5479304724544,1.47742013879103,0.577276805078328
779749908,Existing Customer,45.5,M,5.8,College,Married,$60K - $80K,Gold,34.1,3.5,2.9,2.1,34313.5,1684.55557201131,32628.9444279887,0.653816831773599,1489.3,31.3959718270753,0.30474746932585,0.117386016571793
710027508,Existing Customer,58.5,M,1.2,Graduate,Married,$60K - $80K,Blue,57.3,2.5,1.7,0.8,1311.5,501.74204200931,809.75795799069,1.07739018903619,1334.7,29.343664035369,1.06839175339257,0.59190635354818
708330858,Attrited Customer,56.5,M,2.3,Graduate,Married,$120K +,Blue,40.4,4,3.5,3.1,8312.3,1823.48982464748,6488.81017535252,0.56055855813522,574.8,6.9769502297017,0.808054580563232,0.221709440424063
770590758,Existing Customer,44.1,F,2.2,Graduate,Single,$40K - $60K,Blue,27.8,6.7,2.1,0.2,2955.4,1354.61449757489,1600.78550242511,0.704224275107465,992.2,14.9392962521681,0.241885329858322,0.385021681086089
715024233,Existing Customer,52.1,M,-0.6,High School,Married,$120K +,Blue,33.9,6.1,3.7,2.1,3575.5,2389.51482062433,1185.98517937567,0.708635135551074,2037.4,29.7239715246927,0.94050211101367,0.557655943563113
779249583,Existing Customer,55.6,F,0.2,Graduate,Married,Less than $40K,Blue,40.5,4.3,2.6,2.8,2337.6,2050.80991270208,286.79008729792,1.76918788119657,1452.5,24.3925978675226,0.824059880474442,1.00684713433687
712299858,Existing Customer,59.6,M,2,High School,Married,Less than $40K,Blue,55.5,3.3,3.7,3.1,1855.1,1674.37394590391,180.72605409609,1.04458175269599,1334.8,32.8560335367744,1.17296853932539,0.763545024095784
799224108,Existing Customer,45.5,F,2.9,Graduate,Single,Less than $40K,Blue,35.2,6,0.2,1.8,6366.3,1871.22749058027,4495.07250941973,1.08352120432782,1908.8,46.6397055621275,0.748793145492704,0.334782331673643
714871683,Attrited Customer,59.6,M,0.3,Uneducated,Married,$40K - $60K,Blue,37.1,0.5,4.6,2.1,1088.4,994.363285973747,94.0367140262531,0.544919607749073,638.7,8.42077263198091,0.370207146305107,0.422514904039256
716139933,Existing Customer,53.8,M,-0.6,High School,Married,$80K - $120K,Blue,31.3,1.7,0.3,1.2,16661.3,2001.97063421207,14659.3293657879,1.22216184376224,2646.2,43.4343476377165,1.33282833436452,0.079005200317875
713773458,Existing Customer,49.1,M,1.7,High School,Single,$60K - $80K,Blue,44.5,5.3,2.3,2.2,7417.6,1165.63045341117,6251.96954658883,0.440105192020648,1730.5,34.1979423944732,0.716879610515546,0.069631241796021
719242533,Existing Customer,43.9,M,6.3,High School,Married,$60K - $80K,Blue,36,3.7,3.8,2.9,22284.5,2896.09574675919,19388.4042532408,1.01253553703817,2151.7,43.5028922153924,0.477122752986944,0.120446579498005
811898133,Existing Customer,38.3,F,4.8,High School,Divorced,Less than $40K,Blue,33,1.8,1.4,3.3,2893.1,2488.77614325691,404.32385674309,0.989261097747169,1134.9,36.5370228306154,0.40969095504246,0.884085057647264
719554758,Existing Customer,45.1,M,0.4,Uneducated,Married,$80K - $120K,Blue,36.2,4,2.6,1.7,33936.4,2161.73207244965,31774.6679275504,1.01820146014777,1633.9,34.8490437277914,0.388070326604649,0.141337435054044
